#Coverage	Number of genomic locations
0.0	9866.0
1.0	909.0
2.0	1423.0
3.0	338.0
4.0	1422.0
5.0	694.0
6.0	1381.0
7.0	497.0
8.0	1596.0
9.0	510.0
10.0	1061.0
11.0	651.0
12.0	1070.0
13.0	776.0
14.0	1550.0
15.0	416.0
16.0	1032.0
17.0	198.0
18.0	616.0
19.0	329.0
20.0	755.0
21.0	572.0
22.0	1543.0
23.0	393.0
24.0	1465.0
25.0	617.0
26.0	766.0
27.0	303.0
28.0	1564.0
29.0	419.0
30.0	859.0
31.0	139.0
32.0	743.0
33.0	327.0
34.0	460.0
35.0	585.0
36.0	716.0
37.0	203.0
38.0	625.0
39.0	908.0
40.0	1027.0
41.0	328.0
42.0	718.0
43.0	301.0
44.0	562.0
45.0	408.0
46.0	511.0
47.0	648.0
48.0	1167.0
49.0	237.0
50.0	657.0
51.0	490.0
52.0	699.0
53.0	418.0
54.0	588.0
55.0	370.0
56.0	636.0
57.0	551.0
58.0	509.0
59.0	331.0
60.0	708.0
61.0	242.0
62.0	483.0
63.0	385.0
64.0	502.0
65.0	523.0
66.0	615.0
67.0	365.0
68.0	469.0
69.0	278.0
70.0	364.0
71.0	351.0
72.0	1048.0
73.0	687.0
74.0	579.0
75.0	333.0
76.0	353.0
77.0	212.0
78.0	280.0
79.0	594.0
80.0	579.0
81.0	206.0
82.0	426.0
83.0	243.0
84.0	504.0
85.0	202.0
86.0	186.0
87.0	225.0
88.0	397.0
89.0	365.0
90.0	468.0
91.0	262.0
92.0	460.0
93.0	428.0
94.0	544.0
95.0	142.0
96.0	459.0
97.0	384.0
98.0	457.0
99.0	366.0
100.0	450.0
101.0	238.0
102.0	521.0
103.0	88.0
104.0	266.0
105.0	118.0
106.0	110.0
107.0	269.0
108.0	270.0
109.0	404.0
110.0	141.0
111.0	312.0
112.0	534.0
113.0	211.0
114.0	296.0
115.0	412.0
116.0	266.0
117.0	201.0
118.0	277.0
119.0	195.0
120.0	83.0
121.0	46.0
122.0	142.0
123.0	192.0
124.0	309.0
125.0	163.0
126.0	254.0
127.0	239.0
128.0	246.0
129.0	84.0
130.0	65.0
131.0	72.0
132.0	162.0
133.0	168.0
134.0	85.0
135.0	209.0
136.0	144.0
137.0	234.0
138.0	399.0
139.0	164.0
140.0	119.0
141.0	198.0
142.0	133.0
143.0	102.0
144.0	107.0
145.0	145.0
146.0	237.0
147.0	273.0
148.0	299.0
149.0	84.0
150.0	114.0
151.0	312.0
152.0	489.0
153.0	140.0
154.0	120.0
155.0	191.0
156.0	83.0
157.0	52.0
158.0	102.0
159.0	32.0
160.0	51.0
161.0	98.0
162.0	47.0
163.0	76.0
164.0	23.0
165.0	123.0
166.0	115.0
167.0	116.0
168.0	59.0
169.0	237.0
170.0	124.0
171.0	38.0
172.0	370.0
173.0	28.0
174.0	173.0
175.0	137.0
176.0	193.0
177.0	95.0
178.0	49.0
179.0	56.0
180.0	18.0
181.0	18.0
182.0	39.0
183.0	240.0
184.0	132.0
185.0	8.0
186.0	13.0
187.0	48.0
188.0	66.0
189.0	75.0
190.0	213.0
191.0	46.0
192.0	91.0
193.0	69.0
194.0	61.0
195.0	61.0
196.0	73.0
197.0	82.0
198.0	91.0
199.0	43.0
200.0	75.0
201.0	117.0
202.0	74.0
203.0	210.0
204.0	119.0
205.0	116.0
206.0	162.0
207.0	137.0
208.0	169.0
209.0	21.0
210.0	30.0
211.0	70.0
212.0	54.0
213.0	62.0
214.0	53.0
215.0	14.0
216.0	47.0
217.0	143.0
218.0	27.0
219.0	120.0
220.0	49.0
221.0	41.0
222.0	237.0
223.0	26.0
224.0	91.0
225.0	82.0
226.0	100.0
227.0	64.0
228.0	117.0
229.0	123.0
230.0	59.0
231.0	52.0
232.0	45.0
233.0	30.0
234.0	55.0
235.0	55.0
236.0	125.0
237.0	65.0
238.0	54.0
239.0	60.0
240.0	118.0
241.0	46.0
242.0	71.0
243.0	130.0
244.0	37.0
245.0	81.0
246.0	2.0
247.0	9.0
248.0	17.0
249.0	26.0
250.0	14.0
251.0	87.0
252.0	50.0
253.0	3.0
254.0	21.0
255.0	11.0
256.0	52.0
257.0	14.0
258.0	17.0
259.0	20.0
