#Duplication rate	Coverage
1.0	3390.0
2.0	782.0
3.0	247.0
4.0	156.0
5.0	64.0
6.0	53.0
7.0	29.0
8.0	17.0
9.0	23.0
10.0	22.0
11.0	17.0
12.0	7.0
13.0	22.0
14.0	17.0
15.0	12.0
16.0	13.0
17.0	10.0
18.0	9.0
19.0	11.0
20.0	10.0
21.0	15.0
22.0	15.0
23.0	6.0
24.0	7.0
25.0	9.0
26.0	10.0
27.0	9.0
28.0	7.0
29.0	12.0
30.0	9.0
31.0	10.0
32.0	9.0
33.0	7.0
34.0	6.0
35.0	6.0
36.0	10.0
37.0	8.0
38.0	4.0
39.0	11.0
40.0	13.0
41.0	3.0
42.0	8.0
43.0	8.0
44.0	6.0
45.0	4.0
46.0	8.0
47.0	4.0
48.0	3.0
49.0	4.0
50.0	261.0
