#Insert size (bp)	insert size
84.0	1.0
95.0	1.0
176.0	1.0
186.0	1.0
188.0	1.0
191.0	1.0
202.0	2.0
203.0	1.0
207.0	1.0
208.0	1.0
212.0	1.0
215.0	2.0
216.0	2.0
217.0	1.0
218.0	2.0
219.0	1.0
223.0	5.0
224.0	15.0
225.0	1702.0
226.0	621.0
227.0	845.0
228.0	205.0
229.0	723.0
230.0	339.0
231.0	736.0
232.0	482.0
233.0	347.0
234.0	69.0
235.0	415.0
236.0	129.0
237.0	374.0
238.0	233.0
239.0	787.0
240.0	154.0
241.0	329.0
242.0	198.0
243.0	590.0
244.0	11.0
245.0	392.0
246.0	55.0
247.0	836.0
248.0	75.0
249.0	643.0
250.0	205.0
251.0	149.0
252.0	232.0
253.0	477.0
254.0	36.0
255.0	489.0
256.0	110.0
257.0	520.0
258.0	4.0
259.0	235.0
260.0	221.0
261.0	488.0
262.0	58.0
263.0	839.0
264.0	66.0
265.0	516.0
266.0	149.0
267.0	641.0
268.0	183.0
269.0	537.0
270.0	225.0
271.0	816.0
272.0	345.0
273.0	917.0
274.0	381.0
275.0	1177.0
276.0	3.0
497.0	5.0
503.0	2.0
504.0	1.0
515.0	1.0
517.0	4.0
523.0	2.0
525.0	2.0
527.0	7.0
528.0	9.0
529.0	3.0
531.0	1.0
