"CDR017-DIL"	"CDR025"	"CDR021"	"CDR029-DIL"	"CDR022"	"CDR018"	"CDR026-DIL"	"CDR030-DIL"	"CDR031-DIL"	"CDR023"	"CDR027-DIL"	"CDR019"	"CDR020"	"CDR028-DIL"	"CDR032-DIL"	"CDR024"
"ILMN_2882425"	661.963039808303	720.322504797304	600.291581247402	663.143971303895	674.493014752884	725.634911070009	650.577347567717	710.618477832433	693.671512668326	589.135017239566	777.153003883988	749.404831600933	650.577347567717	694.598224841115	658.239480457663	557.177054198778
"ILMN_2739033"	10267.2014193161	10267.2014193161	9926.93805336734	9733.49202329232	10911.0019746959	10654.5493197106	9405.66360399873	10985.4947288439	9524.23049796945	8802.47765141527	11489.9714111655	9277.35401630601	10081.4903606274	10911.0019746959	9926.93805336734	8673.49630935748
"ILMN_2441811"	202.835088519857	181.140519959859	174.344941021627	162.273613373903	156.78985777026	176.024534259284	171.043779687388	170.620245969096	198.983373983367	164.223093665376	197.903607631961	192.055133970322	152.242773442054	177.141598869479	160.787823461447	154.339568322638
"ILMN_2857095"	96.4498872925365	109.279290236266	89.5841357066248	93.3384117525367	100.192817700378	106.544829583981	128.632746974787	99.2059937568974	108.68403189106	126.644597860714	129.735329283151	97.8243038627361	129.816401467278	111.473109738226	110.99155905423	112.015411921522
"ILMN_2764344"	134.343680181787	135.691044352101	157.357488115184	139.973637666828	129.735329283151	138.927551508505	155.145329586862	123.082836633513	130.995131053627	133.855613491287	149.522306272358	179.078079007019	140.380193958127	114.179823498344	138.853476887168	142.213988417564
"ILMN_2886610"	6618.92088548356	6914.37681810861	8063.44496885531	8545.20166067849	6836.96989481847	6944.6714935566	6084.12145160063	8264.61815174206	7938.04678752724	6880.61273446506	7461.27836956797	6144.17544330543	6430.79846286899	7495.99018843757	8595.52411185406	6480.97319122484
"ILMN_2638558"	942.495779701235	991.965816184662	763.18707181063	797.027391520704	816.009143386301	795.85546165721	959.787837486602	788.463433026239	913.728300793946	804.903850840268	953.767058109612	940.263767749402	1040.9371089846	1074.35662785982	848.67652127177	766.160182022922
"ILMN_1245469"	365.593655229645	348.167468033613	383.448718359218	312.746343148227	417.193455037449	410.140512069712	347.102352454971	325.330276409995	307.833442724685	410.700348251494	330.371041068229	397.437606201775	399.046125507477	316.639895082677	315.47843291778	408.681985225802
"ILMN_2696146"	160.21968593075	162.620367348083	184.233072052456	174.134861218255	145.756486758951	144.664681523535	175.614197850302	207.656860878918	168.421223004876	187.356988787832	154.76646147939	166.146604664616	164.730527533755	187.734282892149	192.252080759598	144.915602796684
"ILMN_2601851"	146.301185840128	134.531531037531	149.426844998698	134.892593789617	140.264539435303	141.870300105686	137.34919650284	138.731281473233	141.988761043273	124.524022672584	155.145329586862	143.491255073536	144.664681523535	137.121963218069	143.790556608182	128.983894373408
"ILMN_2774701"	208.683242207842	255.832843563802	241.663340972388	240.652854907352	290.00415434251	280.146400493415	215.600285302348	336.424002557358	214.597367693264	262.901397541493	201.757145402414	228.941673595795	221.259530668973	200.560484893706	231.47497270587	283.383343262907
"ILMN_2626535"	114.342296243169	133.855613491287	115.052171594457	147.893363265102	102.478821223142	117.99917281329	107.738931176402	141.362619424953	167.520728821314	132.582174108329	146.301185840128	113.114428302488	119.626465572072	132.378119878458	145.036169181516	119.188383619433
