"CDR017-DIL"	"CDR025"	"CDR021"	"CDR029-DIL"	"CDR022"	"CDR018"	"CDR026-DIL"	"CDR030-DIL"	"CDR031-DIL"	"CDR023"	"CDR027-DIL"	"CDR019"	"CDR020"	"CDR028-DIL"	"CDR032-DIL"	"CDR024"
"ILMN_2696146"	160.21968593075	162.620367348083	184.233072052456	174.134861218255	145.756486758951	144.664681523535	175.614197850302	207.656860878918	168.421223004876	187.356988787832	154.76646147939	166.146604664616	164.730527533755	187.734282892149	192.252080759598	144.915602796684
"ILMN_2773540"	3103.39426273525	3146.97959344395	3415.53111350211	3256.30456989992	3146.97959344395	3037.79595901899	3234.42316792684	3256.30456989992	3311.50515454717	2985.56626246746	3311.50515454717	3426.01758688045	3020.43657024533	3268.03990308467	3256.30456989992	2909.30386872102
"ILMN_2766894"	310.549644301001	359.984658948878	302.232594518903	355.378882813835	272.142736569558	318.926027572413	279.843993044315	377.971971355893	405.459850781768	270.227920450813	376.832713969815	358.772538402066	245.385477784743	345.749044024304	361.699809697393	302.232594518903
"ILMN_2642313"	864.838622956321	870.863076246121	861.251524780702	931.777403778425	773.526508127507	859.293858548433	830.544545127954	869.526359668806	885.432872479327	790.274498483684	957.454087950553	945.786865955696	816.009143386301	911.361568685836	790.274498483684	851.169842630701
"ILMN_1216168"	109.647152891523	195.061157782088	148.612954554011	111.473109738226	108.959367900537	147.893363265102	186.910377774981	149.281879076115	138.658707954989	118.930418126851	141.280126018345	185.640584706475	185.411878541599	152.377515527579	139.172620704951	143.394989628585
"ILMN_2440803"	220.619466796737	256.947639908727	254.669788458206	320.189863133312	224.075622338378	222.452631271243	202.446431493004	276.698861075428	280.146400493415	212.392862674901	249.573447762868	244.457439523694	265.499243488264	291.195617733215	276.698861075428	199.239629687151
"ILMN_2867927"	165.896523063788	147.316072927139	180.950794014374	172.979792412453	153.297641656477	150.845248267724	164.849220822837	185.411878541599	138.927551508505	179.809351900118	169.386749253404	164.849220822837	198.983373983367	153.426151855314	153.297641656477	176.348336514443
"ILMN_2619408"	110.381697421226	174.344941021627	180.013584151774	141.668358847195	208.342866072565	89.1404208303437	210.452183639325	143.621532596871	147.316072927139	179.078079007019	135.042687397842	109.213958477202	126.488314483536	129.367110643782	139.560497887233	200.695577684679
"ILMN_3015003"	138.731281473233	134.28798953197	139.369219746625	178.198570230794	122.160824669217	139.675534809609	129.816401467278	177.141598869479	180.7502917237	135.295898995024	144.788626383627	115.626688573719	115.932639559749	145.56747899837	163.896574082405	181.442534562751
"ILMN_2959976"	846.917749493412	886.792061085139	903.42188159395	1026.58387817518	1019.23259038228	830.544545127954	867.740220099205	882.431343877542	917.216913961538	963.631036165856	711.733809420746	849.949538303924	812.312376136634	737.385488084088	867.740220099205	817.720462789958
"ILMN_1246734"	470.000203779845	368.269001515256	542.263212048018	424.367987567879	485.196714786404	623.486838655153	418.577617997242	430.178775993743	439.251286381519	431.274701883777	365.593655229645	368.269001515256	481.309632294357	472.602014192405	426.735378104158	468.993683910487
"ILMN_2472444"	180.597636646327	160.884975410803	132.708238268148	163.540393756551	113.767256599835	141.160168652535	154.76646147939	184.073206824323	226.867581724119	129.626676934435	182.245042800604	159.884765712734	157.48301615556	157.159400459038	205.19637230636	162.812414478414
"ILMN_2762026"	219.112334625771	197.158434133973	271.796541737481	202.835088519857	285.115434280599	276.698861075428	236.441210094834	381.197559869559	228.941673595795	240.652854907352	175.193893879516	199.239629687151	197.903607631961	216.722956740665	242.592555377262	437.423466288926
"ILMN_2802952"	228.620297648506	262.091183104265	240.049418133337	229.66749650735	238.911297108168	252.078043193026	299.403220259156	225.41653212484	235.186465907689	203.706999458619	283.843766159967	255.017652310573	257.622355177836	246.812225656787	228.082370183228	258.825074896342
"ILMN_3006911"	339.679429329215	332.818739222092	307.043866427981	246.482196380788	361.061433904275	407.496786726766	309.747407550305	283.046441327222	290.338434638436	322.429805868317	290.00415434251	372.850028276935	429.700317700461	327.97037880603	279.457878773484	356.087759773082
"ILMN_1255564"	168.935582428842	160.494081590047	204.558807895178	227.516354827666	209.776351166102	176.637361710776	180.013584151774	257.622355177836	198.184999036817	211.421692494549	149.426844998698	168.085519866078	165.335475028765	178.483750666646	219.601486407792	264.801126405456
"ILMN_3155915"	267.931406168734	271.268376795489	234.186150748252	284.388297954252	273.422666182531	312.034060217891	269.005776010999	292.178252353524	254.669788458206	247.098545960846	252.078043193026	256.178693464757	303.614855315165	262.091183104265	270.227920450813	240.049418133337
"ILMN_1213273"	264.801126405456	224.382424261451	294.720787673554	260.059745394473	276.698861075428	302.232594518903	206.420579823501	281.208315118697	288.725273714992	299.720866161668	232.486160686618	261.571684365823	242.927757853786	235.431454607578	262.513951432499	292.178252353524
"ILMN_2731424"	399.046125507477	473.334540024311	445.092804374971	407.496786726766	406.350502684524	426.735378104158	410.140512069712	445.757779820815	451.9511651294	475.216984487059	438.525030888638	460.735791140362	420.535760737231	383.448718359218	436.803877994107	427.709323376374
"ILMN_2688721"	327.97037880603	299.720866161668	345.41057362798	305.640378347709	363.795679369119	304.215544006124	295.800991277182	297.018806681545	286.607148354105	332.399485728257	319.677832586974	357.145578608382	318.926027572413	347.102352454971	295.355989509007	325.330276409995
"ILMN_1226508"	489.816058659362	510.689020804935	574.367524262937	570.897239116234	482.047107186225	539.139765816497	565.227305694532	676.659005294521	566.970475571112	436.803877994107	455.446747893589	559.156328240973	470.663905414315	495.545934756306	693.671512668326	643.067468807593
"ILMN_1246611"	11304.6275526543	12047.6910728434	12436.0066559893	12436.0066559893	11043.7891212384	10911.0019746959	11395.766497756	12254.9238344302	11489.9714111655	12254.9238344302	12162.6339622203	12047.6910728434	11395.766497756	11794.8187387302	11794.8187387302	12436.0066559893
"ILMN_1250417"	1344.3737658904	1537.27322008714	1218.51369283829	999.104710097449	1035.55198745705	1389.60026000153	1543.59210426128	1146.68691997431	1397.46968781217	1378.06889758268	1805.43947233778	1408.5479820606	1557.45955604536	1762.82909248149	1282.0741412926	1514.18616050431
"ILMN_2689887"	4930.26837586326	4958.76514885803	4958.76514885803	5490.26637317441	4263.6511906442	4930.26837586326	4770.36660652933	5604.79876602349	6390.45053168277	4751.37878302292	5672.27291212232	5326.07470070583	5025.1209460744	6084.12145160063	6084.12145160063	4867.87863738599
"ILMN_2875876"	162.620367348083	178.198570230794	196.319554823649	176.637361710776	220.619466796737	181.528129125179	220.619466796737	197.309912295578	178.483750666646	227.173440740117	138.853476887168	172.841991606866	192.252080759598	209.059996081712	186.548711948991	224.382424261451
"ILMN_2797928"	483.061187025741	494.515919489221	371.600851240809	366.344723653446	385.955426441951	488.404320240516	605.088614125146	339.181387159091	397.787696509851	459.84932568973	480.040798565325	505.312650197434	493.643936051451	442.400997818043	452.997415125838	377.971971355893
"ILMN_2695181"	2860.32191816475	2752.40980667495	3020.43657024533	2586.70786598575	2508.84946290585	2925.33320913453	2872.93520030136	2693.59136958246	2451.34316276235	3256.30456989992	2280.73405112398	3064.33885992686	3256.30456989992	2291.08676854828	2872.93520030136	3116.10456232667
"ILMN_2427560"	314.549967991377	369.346691839627	396.889348392585	338.601169726738	338.601169726738	305.640378347709	339.181387159091	349.51900767888	367.098277222458	256.947639908727	350.082317332543	369.346691839627	259.556429279655	383.099109544962	299.403220259156	359.984658948878
"ILMN_2636335"	4469.64402141686	4693.71813860176	5418.49892093275	5716.71744750273	4612.04555847863	4050.92331070613	4993.88923671829	5212.55761340828	5631.3418704369	5418.49892093275	5326.07470070583	4073.53685997972	4639.61952698331	4639.61952698331	6012.32452029422	4958.76514885803
"ILMN_1216871"	177.972434300043	152.79765276603	160.641860892585	158.621869780789	139.851234479293	144.000615667494	161.389048804271	146.462104393352	195.829883201231	144.264900995596	183.187019499622	178.641117371011	195.061157782088	147.893363265102	151.032792126625	152.645235127419
"ILMN_1237090"	518.335689706506	516.442541723363	506.477541200611	429.700317700461	609.877809058351	502.95474709898	565.982118733903	473.334540024311	426.735378104158	559.971732937553	394.159909491468	491.605827793177	611.943059223572	487.714220565744	454.445903662889	507.273115891989
"ILMN_2642806"	260.56095655257	182.245042800604	314.549967991377	253.242312523274	278.961632185348	314.067563580256	263.796937256672	224.382424261451	305.057535619199	281.674531516822	158.302812529182	158.809207993293	252.078043193026	265.870976929483	262.901397541493	236.441210094834
"ILMN_1245356"	1064.24293692635	1194.73518117459	942.495779701235	955.757208715155	1101.50699358048	1035.55198745705	1143.94788901273	885.432872479327	936.33458055629	1004.9899587149	892.698104946664	1240.48607532448	1017.10401842818	931.777403778425	835.723268679927	1013.49558843248
"ILMN_2632940"	1540.36464209304	1373.42416223434	1649.62502872729	1349.79865928959	1897.86467588513	1443.96608098176	1454.49158800563	1612.70288645426	1419.56967481821	1735.06460087512	1135.231915271	1389.60026000153	1344.3737658904	1226.1986843348	1360.51727051642	1612.70288645426
"ILMN_2621012"	937.949351260574	885.432872479327	788.463433026239	900.439591125829	775.229424150079	816.009143386301	876.289079500583	880.61525495094	842.688415100829	835.723268679927	903.42188159395	911.361568685836	874.731522183946	863.568826251128	900.439591125829	790.274498483684
"ILMN_1238213"	292.178252353524	297.53291012773	303.614855315165	351.861132586229	298.079616282169	289.519606941518	303.232977395375	291.820104410538	293.23263943241	295.355989509007	296.584003843778	310.549644301001	288.452952321194	351.289954171193	295.800991277182	282.032442123701
"ILMN_2876448"	283.383343262907	295.031307777974	278.961632185348	374.061397185543	348.964737945131	299.720866161668	342.429928668099	322.02667824773	322.925946013011	312.034060217891	354.939555059617	272.142736569558	293.801850873345	367.691816226365	375.922547858525	255.832843563802
"ILMN_2850342"	122.885800016726	117.927701928658	125.783581268685	143.491255073536	132.01996265373	135.691044352101	127.665096841667	114.105246749778	133.030631220349	118.208425801728	97.0311002179746	158.302812529182	129.899659849871	107.040994887494	125.667541566626	120.247365978183
"ILMN_3157896"	116.6218827375	153.297641656477	134.892593789617	129.283786027956	122.062179454803	106.172537533546	127.326325656377	130.178186644455	108.001075534479	110.032012406799	128.983894373408	113.767256599835	133.685820008085	111.143396911849	104.959146500293	113.524837393963
"ILMN_2601572"	118.688891276479	137.608689525414	126.006863969811	117.037625028922	126.488314483536	154.479273461689	118.930418126851	137.608689525414	127.934246069052	112.291573187862	139.172620704951	125.190213925272	113.409582899942	129.208106721491	113.897469231105	121.95529350607
"ILMN_1229318"	1284.44242845571	1203.37216355331	1551.13778487733	1408.5479820606	1483.7263398737	1365.47249100795	1155.66578270317	1560.93677982901	1540.36464209304	1414.72176760012	1277.18644963781	1244.87606519578	1261.98996803878	1111.53271498701	1393.35261412382	1334.15753279403
"ILMN_2625094"	331.552580988504	317.197061182391	351.289954171193	360.466877504648	317.659727272199	336.424002557358	274.647269713391	376.832713969815	349.51900767888	283.843766159967	278.961632185348	322.02667824773	339.679429329215	299.025794878139	427.709323376374	267.931406168734
"ILMN_1247335"	280.741650420012	322.925946013011	294.332756499546	280.146400493415	374.061397185543	295.800991277182	311.000506243549	353.510781047677	339.181387159091	340.200929695543	289.519606941518	275.412518386559	308.321377450467	302.232594518903	265.870976929483	289.144817378513
