chrom	length	bases	mean	min	max
chr1	248956422	15449	0.00	0	7
chr1_region	248956422	15449	0.00	0	7
chr2	242193529	41411	0.00	0	28
chr2_region	242193529	41411	0.00	0	28
chr3	198295559	2888	0.00	0	3
chr3_region	198295559	2888	0.00	0	3
chr4	190214555	37001	0.00	0	19
chr4_region	190214555	37001	0.00	0	19
chr5	181538259	18885	0.00	0	11
chr5_region	181538259	18885	0.00	0	11
chr6	170805979	3391	0.00	0	3
chr6_region	170805979	3391	0.00	0	3
chr7	159345973	30957	0.00	0	18
chr7_region	159345973	30957	0.00	0	18
chr8	145138636	6259	0.00	0	18
chr8_region	145138636	6259	0.00	0	18
chr9	138394717	46339	0.00	0	41
chr9_region	138394717	46339	0.00	0	41
chr10	133797422	10321	0.00	0	14
chr10_region	133797422	10321	0.00	0	14
chr11	135086622	90611	0.00	0	24
chr11_region	135086622	90611	0.00	0	24
chr12	133275309	7726	0.00	0	22
chr12_region	133275309	7726	0.00	0	22
chr13	114364328	102958	0.00	0	35
chr13_region	114364328	102958	0.00	0	35
chr14	107043718	1661	0.00	0	2
chr14_region	107043718	1661	0.00	0	2
chr15	101991189	1691	0.00	0	5
chr15_region	101991189	1691	0.00	0	5
chr16	90338345	2221	0.00	0	7
chr16_region	90338345	2221	0.00	0	7
chr17	83257441	40873	0.00	0	31
chr17_region	83257441	40873	0.00	0	31
chr18	80373285	1698	0.00	0	2
chr18_region	80373285	1698	0.00	0	2
chr19	58617616	33734	0.00	0	15
chr19_region	58617616	33734	0.00	0	15
chr20	64444167	1289	0.00	0	5
chr20_region	64444167	1289	0.00	0	5
chr21	46709983	541	0.00	0	1
chr21_region	46709983	541	0.00	0	1
chr22	50818468	664	0.00	0	1
chr22_region	50818468	664	0.00	0	1
chrX	156040895	11396	0.00	0	41
chrX_region	156040895	11396	0.00	0	41
chrY	57227415	192	0.00	0	1
chrY_region	57227415	192	0.00	0	1
total	3088269832	510156	0.00	0	41
total_region	3088269832	510156	0.00	0	41
