task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
16	38/b8f66b	7106	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTP (S4-L1)	COMPLETED	0	2025-12-09 00:09:54.149	3.7s	2.9s	115.7%	1.2 GB	2.3 GB	23.1 MB	10.8 MB
2	b2/6cfd2e	192986	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_COMBINED (wgs_calling_regions_noseconds.hg38)	CACHED	0	2025-12-08 23:14:41.504	506ms	111ms	82.6%	1.7 MB	4.6 MB	147.9 KB	12.1 KB
1	09/5bcdde	192774	NFCORE_SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (wgs_calling_regions_noseconds.hg38.bed)	CACHED	0	2025-12-08 23:14:40.937	667ms	0ms	127.3%	1.7 MB	4.3 MB	139.9 KB	9.2 KB
73	6a/d8f706	193384	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr7_58169654-60828234)	CACHED	0	2025-12-08 23:14:41.773	650ms	90ms	59.3%	1.8 MB	4.6 MB	137 KB	3.7 KB
69	41/7ff339	193119	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr2_238904048-242183529)	CACHED	0	2025-12-08 23:14:41.694	703ms	77ms	60.7%	1.8 MB	4.6 MB	137 KB	3.9 KB
77	95/19bcbb	193165	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr4_190173122-190204555)	CACHED	0	2025-12-08 23:14:41.716	877ms	70ms	70.3%	1.7 MB	4.6 MB	137.2 KB	3.9 KB
74	dd/7d08a8	193248	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr10_39590436-39593013)	CACHED	0	2025-12-08 23:14:41.738	636ms	79ms	51.9%	1.7 MB	4.6 MB	137.1 KB	3.7 KB
72	99/bb0d43	193455	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr15_20729747-21193490)	CACHED	0	2025-12-08 23:14:41.794	621ms	95ms	59.8%	1.7 MB	4.6 MB	137.3 KB	3.8 KB
71	91/0a1f71	193280	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr12_37235253-37240944)	CACHED	0	2025-12-08 23:14:41.747	590ms	86ms	67.7%	1.7 MB	4.6 MB	137 KB	3.7 KB
70	ce/510e03	193402	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr4_10001-1429358)	CACHED	0	2025-12-08 23:14:41.781	680ms	85ms	56.9%	1.8 MB	4.6 MB	137 KB	3.7 KB
76	72/3c1211	193124	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr20_36314720-64334167)	CACHED	0	2025-12-08 23:14:41.701	557ms	75ms	69.2%	1.7 MB	4.6 MB	138.5 KB	4.3 KB
85	f1/1d6320	195228	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr11_51078349-54425074)	CACHED	0	2025-12-08 23:14:42.266	417ms	48ms	119.6%	1.8 MB	4.6 MB	137 KB	3.7 KB
79	03/eb29ce	193214	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr6_95070791-167591393)	CACHED	0	2025-12-08 23:14:41.730	586ms	99ms	64.6%	1.7 MB	4.6 MB	136.8 KB	3.6 KB
81	1c/2b07d9	193348	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr1_122026460-124977944)	CACHED	0	2025-12-08 23:14:41.761	705ms	117ms	56.6%	1.7 MB	4.6 MB	137 KB	3.7 KB
78	e5/a850b3	193526	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr5_139453660-155760324)	CACHED	0	2025-12-08 23:14:41.811	660ms	102ms	58.4%	1.7 MB	4.6 MB	136.9 KB	3.7 KB
80	3a/46fe31	193149	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr17_60001-448188)	CACHED	0	2025-12-08 23:14:41.709	571ms	83ms	59.8%	1.8 MB	4.6 MB	137.5 KB	3.8 KB
83	64/6ba8c2	193187	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chrX_37285838-49348394)	CACHED	0	2025-12-08 23:14:41.723	650ms	110ms	45.5%	1.7 MB	4.6 MB	137.1 KB	3.7 KB
75	a4/cd4bed	193101	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr8_44033745-45877265)	CACHED	0	2025-12-08 23:14:41.670	563ms	94ms	57.1%	1.7 MB	4.6 MB	136.8 KB	3.6 KB
82	98/9658b3	194088	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr18_47019913-54536574)	CACHED	0	2025-12-08 23:14:42.017	545ms	67ms	89.5%	1.7 MB	4.6 MB	137.6 KB	3.9 KB
84	0f/2ba019	195056	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr1_10001-207666)	CACHED	0	2025-12-08 23:14:42.240	441ms	47ms	87.5%	1.7 MB	4.6 MB	136.9 KB	3.5 KB
88	dd/cf8b2d	195623	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chrY_9055175-9057608)	CACHED	0	2025-12-08 23:14:42.347	412ms	50ms	105.7%	1.7 MB	4.6 MB	138 KB	3.8 KB
87	01/c0db70	195319	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr9_41229379-41237752)	CACHED	0	2025-12-08 23:14:42.287	433ms	49ms	105.7%	1.7 MB	4.6 MB	137.9 KB	4 KB
68	a0/eddf24	193484	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr2_16146120-32867130)	CACHED	0	2025-12-08 23:14:41.801	635ms	113ms	56.1%	1.7 MB	4.6 MB	137 KB	3.7 KB
86	90/87a436	195511	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr13_86252980-111703855)	CACHED	0	2025-12-08 23:14:42.330	416ms	50ms	104.7%	1.7 MB	4.6 MB	137.2 KB	3.8 KB
17	67/a00b6d	7095	NFCORE_SAREK:SAREK:FASTQC (S4-L1)	COMPLETED	0	2025-12-09 00:09:54.128	10.8s	10s	187.3%	514.5 MB	7.3 GB	22.7 MB	4 MB
53	ba/eb8dda	8605	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTQ_ALIGN:BWAMEM1_MEM (S4)	COMPLETED	0	2025-12-09 00:10:55.002	13s	11.9s	157.5%	5.3 GB	5.9 GB	5.2 GB	4.5 MB
34	59/00b6e0	9623	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTQ_ALIGN:BWAMEM1_MEM (S4)	COMPLETED	0	2025-12-09 00:11:08.053	12.6s	11.2s	165.9%	5.3 GB	12.2 GB	5.2 GB	4.5 MB
23	9f/45d85d	10581	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTQ_ALIGN:BWAMEM1_MEM (S4)	COMPLETED	0	2025-12-09 00:11:20.700	7s	6.4s	226.8%	5.3 GB	12.2 GB	5.2 GB	4.5 MB
52	53/9ad23f	11208	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTQ_ALIGN:BWAMEM1_MEM (S4)	COMPLETED	0	2025-12-09 00:11:27.742	6.7s	6.3s	203.6%	5.3 GB	12.2 GB	5.2 GB	4.5 MB
31	b7/5c1759	11828	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTQ_ALIGN:BWAMEM1_MEM (S4)	COMPLETED	0	2025-12-09 00:11:34.480	6.7s	6.2s	219.6%	5.3 GB	12.3 GB	5.2 GB	4.5 MB
