chrom	length	bases	mean	min	max
chr1	248956422	15200	0.00	0	7
chr1_region	248956422	15200	0.00	0	7
chr2	242193529	40273	0.00	0	28
chr2_region	242193529	40273	0.00	0	28
chr3	198295559	2945	0.00	0	3
chr3_region	198295559	2945	0.00	0	3
chr4	190214555	36321	0.00	0	19
chr4_region	190214555	36321	0.00	0	19
chr5	181538259	18097	0.00	0	11
chr5_region	181538259	18097	0.00	0	11
chr6	170805979	3172	0.00	0	3
chr6_region	170805979	3172	0.00	0	3
chr7	159345973	31087	0.00	0	16
chr7_region	159345973	31087	0.00	0	16
chr8	145138636	6057	0.00	0	18
chr8_region	145138636	6057	0.00	0	18
chr9	138394717	46245	0.00	0	41
chr9_region	138394717	46245	0.00	0	41
chr10	133797422	10136	0.00	0	14
chr10_region	133797422	10136	0.00	0	14
chr11	135086622	89572	0.00	0	24
chr11_region	135086622	89572	0.00	0	24
chr12	133275309	7698	0.00	0	22
chr12_region	133275309	7698	0.00	0	22
chr13	114364328	101902	0.00	0	35
chr13_region	114364328	101902	0.00	0	35
chr14	107043718	1590	0.00	0	2
chr14_region	107043718	1590	0.00	0	2
chr15	101991189	1723	0.00	0	3
chr15_region	101991189	1723	0.00	0	3
chr16	90338345	2106	0.00	0	6
chr16_region	90338345	2106	0.00	0	6
chr17	83257441	40348	0.00	0	31
chr17_region	83257441	40348	0.00	0	31
chr18	80373285	1610	0.00	0	2
chr18_region	80373285	1610	0.00	0	2
chr19	58617616	33024	0.00	0	13
chr19_region	58617616	33024	0.00	0	13
chr20	64444167	1231	0.00	0	6
chr20_region	64444167	1231	0.00	0	6
chr21	46709983	467	0.00	0	1
chr21_region	46709983	467	0.00	0	1
chr22	50818468	629	0.00	0	2
chr22_region	50818468	629	0.00	0	2
chrX	156040895	11038	0.00	0	40
chrX_region	156040895	11038	0.00	0	40
chrY	57227415	153	0.00	0	1
chrY_region	57227415	153	0.00	0	1
chrUn_KI270442v1	392061	26	0.00	0	1
chrUn_KI270442v1_region	392061	26	0.00	0	1
chrUn_GL000195v1	182896	31	0.00	0	1
chrUn_GL000195v1_region	182896	31	0.00	0	1
chr15_KI270849v1_alt	244917	36	0.00	0	1
chr15_KI270849v1_alt_region	244917	36	0.00	0	1
chr17_GL000258v2_alt	1821992	124	0.00	0	3
chr17_GL000258v2_alt_region	1821992	124	0.00	0	3
chr15_KI270905v1_alt	5161414	30	0.00	0	1
chr15_KI270905v1_alt_region	5161414	30	0.00	0	1
chr6_GL000254v2_alt	4827813	33	0.00	0	1
chr6_GL000254v2_alt_region	4827813	33	0.00	0	1
chrUn_KN707818v1_decoy	1207	49	0.04	0	1
chrUn_KN707818v1_decoy_region	1207	49	0.04	0	1
chrUn_JTFH01000424v1_decoy	1755	58	0.03	0	1
chrUn_JTFH01000424v1_decoy_region	1755	58	0.03	0	1
total	3100903887	503011	0.00	0	41
total_region	3100903887	503011	0.00	0	41
