task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
16	3c/59c219	191747	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTP (S4-L1)	COMPLETED	0	2025-12-08 23:14:31.125	2.9s	2.6s	126.5%	1.2 GB	2.2 GB	23.1 MB	10.8 MB
17	ab/81a346	191777	NFCORE_SAREK:SAREK:FASTQC (S4-L1)	COMPLETED	0	2025-12-08 23:14:31.206	7.6s	7s	250.3%	545.6 MB	7.4 GB	22.7 MB	4 MB
2	09/5bcdde	192774	NFCORE_SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (wgs_calling_regions_noseconds.hg38.bed)	COMPLETED	0	2025-12-08 23:14:40.937	667ms	0ms	127.3%	1.7 MB	4.3 MB	139.9 KB	9.2 KB
1	b2/6cfd2e	192986	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_COMBINED (wgs_calling_regions_noseconds.hg38)	COMPLETED	0	2025-12-08 23:14:41.504	506ms	111ms	82.6%	1.7 MB	4.6 MB	147.9 KB	12.1 KB
75	a4/cd4bed	193101	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr8_44033745-45877265)	COMPLETED	0	2025-12-08 23:14:41.670	563ms	94ms	57.1%	1.7 MB	4.6 MB	136.8 KB	3.6 KB
76	72/3c1211	193124	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr20_36314720-64334167)	COMPLETED	0	2025-12-08 23:14:41.701	557ms	75ms	69.2%	1.7 MB	4.6 MB	138.5 KB	4.3 KB
80	3a/46fe31	193149	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr17_60001-448188)	COMPLETED	0	2025-12-08 23:14:41.709	571ms	83ms	59.8%	1.8 MB	4.6 MB	137.5 KB	3.8 KB
79	03/eb29ce	193214	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr6_95070791-167591393)	COMPLETED	0	2025-12-08 23:14:41.730	586ms	99ms	64.6%	1.7 MB	4.6 MB	136.8 KB	3.6 KB
71	91/0a1f71	193280	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr12_37235253-37240944)	COMPLETED	0	2025-12-08 23:14:41.747	590ms	86ms	67.7%	1.7 MB	4.6 MB	137 KB	3.7 KB
74	dd/7d08a8	193248	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr10_39590436-39593013)	COMPLETED	0	2025-12-08 23:14:41.738	636ms	79ms	51.9%	1.7 MB	4.6 MB	137.1 KB	3.7 KB
83	64/6ba8c2	193187	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chrX_37285838-49348394)	COMPLETED	0	2025-12-08 23:14:41.723	650ms	110ms	45.5%	1.7 MB	4.6 MB	137.1 KB	3.7 KB
69	41/7ff339	193119	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr2_238904048-242183529)	COMPLETED	0	2025-12-08 23:14:41.694	703ms	77ms	60.7%	1.8 MB	4.6 MB	137 KB	3.9 KB
72	99/bb0d43	193455	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr15_20729747-21193490)	COMPLETED	0	2025-12-08 23:14:41.794	621ms	95ms	59.8%	1.7 MB	4.6 MB	137.3 KB	3.8 KB
73	6a/d8f706	193384	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr7_58169654-60828234)	COMPLETED	0	2025-12-08 23:14:41.773	650ms	90ms	59.3%	1.8 MB	4.6 MB	137 KB	3.7 KB
68	a0/eddf24	193484	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr2_16146120-32867130)	COMPLETED	0	2025-12-08 23:14:41.801	635ms	113ms	56.1%	1.7 MB	4.6 MB	137 KB	3.7 KB
81	1c/2b07d9	193348	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr1_122026460-124977944)	COMPLETED	0	2025-12-08 23:14:41.761	705ms	117ms	56.6%	1.7 MB	4.6 MB	137 KB	3.7 KB
70	ce/510e03	193402	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr4_10001-1429358)	COMPLETED	0	2025-12-08 23:14:41.781	680ms	85ms	56.9%	1.8 MB	4.6 MB	137 KB	3.7 KB
78	e5/a850b3	193526	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr5_139453660-155760324)	COMPLETED	0	2025-12-08 23:14:41.811	660ms	102ms	58.4%	1.7 MB	4.6 MB	136.9 KB	3.7 KB
82	98/9658b3	194088	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr18_47019913-54536574)	COMPLETED	0	2025-12-08 23:14:42.017	545ms	67ms	89.5%	1.7 MB	4.6 MB	137.6 KB	3.9 KB
